CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,CLV,Segment
512,1,40,5,0.0,2,1,1,146457.83,0,False,False,90562.60279196023,Low Value
484,0,35,7,133868.21,1,1,1,27286.1,0,False,True,124388.7417884323,Medium Value
510,0,30,0,0.0,2,1,1,130553.47,0,False,False,65698.16150253489,Low Value
606,1,36,5,190479.48,2,0,0,179351.89,0,True,False,144342.7389258878,Medium Value
597,0,40,8,101993.12,1,0,1,94774.12,0,False,True,112877.15640114453,Medium Value
754,0,55,3,161608.81,1,1,0,8080.85,1,True,False,102943.73079907542,Medium Value
850,0,45,2,122311.21,1,1,1,19482.5,0,False,True,109134.4469731801,Medium Value
510,1,65,2,0.0,2,1,1,48071.61,0,False,False,60356.973723004616,Low Value
778,0,45,1,162150.42,2,1,0,174531.27,0,True,False,94628.65842326665,Low Value
636,1,42,2,0.0,2,1,1,55470.78,0,False,False,80760.50018291823,Low Value
804,0,50,4,0.0,1,1,1,8546.87,1,False,False,46188.32137608979,Low Value
514,1,32,8,0.0,2,1,0,95857.18,0,False,False,88450.2931291051,Low Value
730,0,39,1,99010.67,1,1,0,194945.8,0,False,False,81759.67109488252,Low Value
525,0,37,0,0.0,1,0,1,131521.72,0,False,True,52186.92184811753,Low Value
616,1,30,5,0.0,2,0,1,196108.51,0,False,True,82394.81578317915,Low Value
687,0,34,7,111388.18,2,1,0,148564.76,0,True,False,96337.11410376962,Low Value
715,0,41,8,56214.85,2,0,0,92982.61,1,False,False,71581.28297519573,Low Value
512,0,36,3,84327.77,2,1,0,17675.36,0,False,False,89579.57553188168,Low Value
479,1,40,1,0.0,2,0,0,114996.43,0,False,False,52696.98212956244,Low Value
601,1,32,8,93012.89,1,1,0,86957.42,0,False,False,80405.04065545615,Low Value
580,1,29,9,61710.44,2,1,0,128077.8,0,False,True,106840.20631021418,Medium Value
807,1,35,3,174790.15,1,1,1,600.36,0,False,False,123013.06495674604,Medium Value
616,0,32,6,0.0,2,1,1,43001.46,0,False,True,80025.7691655864,Low Value
721,1,37,3,107720.64,1,1,1,158591.12,0,True,False,105022.12527134633,Medium Value
501,1,57,10,0.0,2,1,1,47847.19,0,False,False,104644.392221352,Medium Value
521,1,35,6,96423.84,1,1,0,10488.44,0,False,False,68574.56922603252,Low Value
850,1,30,2,141040.01,1,1,1,5978.2,0,False,True,110623.77912417939,Medium Value
759,1,42,4,105420.18,1,0,1,121409.06,0,False,False,113191.42711641881,Medium Value
516,1,50,5,0.0,1,0,1,146145.93,1,False,True,62354.45211810332,Low Value
711,0,38,2,129022.06,2,1,1,14374.86,1,False,False,99498.79582441883,Low Value
512,1,33,3,176666.62,1,1,0,94670.77,0,False,True,78705.4519845149,Low Value
550,1,37,3,0.0,1,1,1,179670.31,0,False,False,57132.91192101852,Low Value
608,0,41,3,89763.84,1,0,0,199304.74,1,False,True,59342.488006503925,Low Value
618,1,34,5,134954.53,1,1,1,151954.39,0,False,False,121806.87541094651,Medium Value
643,1,45,5,0.0,1,1,0,142513.5,1,False,False,41457.112235672575,Low Value
671,1,45,2,106376.85,1,0,1,158264.62,0,False,False,143220.88068785667,Medium Value
689,1,33,2,161814.64,2,1,0,169381.9,0,True,False,115382.06132831801,Medium Value
603,1,31,8,0.0,2,1,1,169915.02,0,False,False,117319.38848216718,Medium Value
620,0,41,9,0.0,2,0,0,88852.47,0,False,False,98642.11996191843,Low Value
676,0,34,1,63095.01,1,1,1,40645.81,0,False,False,83941.13021566957,Low Value
572,1,26,4,118287.01,2,0,0,60427.3,0,True,False,92858.22386431586,Low Value
668,1,47,7,106854.21,1,0,1,157959.02,1,True,False,102121.17024591922,Medium Value
695,1,46,7,49512.55,1,1,0,133007.34,0,False,False,74549.90502554915,Low Value
730,0,33,9,0.0,2,0,0,176576.62,0,False,True,91381.24151911988,Low Value
807,1,43,1,105799.32,2,1,0,34888.04,1,False,False,56218.96862605077,Low Value
592,1,54,8,0.0,1,1,1,28737.71,1,False,False,60675.99807263588,Low Value
726,0,31,9,114722.05,2,1,1,98178.57,0,False,False,168857.2196000821,High Value
514,1,30,7,0.0,1,0,1,125010.24,0,False,True,59441.22728889903,Low Value
567,1,42,2,0.0,2,1,1,167984.61,0,False,False,85498.50668449416,Low Value
850,1,33,10,0.0,1,1,0,4861.72,1,False,False,38041.87834572418,Low Value
671,1,45,6,99564.22,1,1,1,108872.45,1,True,False,79241.69721052679,Low Value
670,1,37,4,170557.91,2,1,0,198252.88,0,False,False,132993.7371636084,Medium Value
694,0,30,9,0.0,2,1,1,26960.31,0,False,False,105857.77262914555,Medium Value
547,0,39,6,74596.15,3,1,1,85746.52,1,True,False,86087.84546484832,Low Value
751,1,50,2,96888.39,1,1,0,77206.25,1,True,False,42065.35468888038,Low Value
594,0,29,3,130830.22,1,1,0,61048.53,0,True,False,91837.57578721612,Low Value
673,1,72,1,0.0,2,0,1,111981.19,0,False,False,65450.84801939436,Low Value
610,1,40,0,0.0,2,1,0,62232.6,0,False,False,50606.8070749837,Low Value
512,0,37,1,0.0,2,0,1,156105.03,0,False,False,71375.06327884576,Low Value
767,1,20,3,119714.25,2,0,1,150135.38,0,True,False,112850.2010287302,Medium Value
585,0,67,5,113978.97,2,0,1,93146.11,0,False,False,145087.2850719039,Medium Value
763,1,42,6,100160.75,1,1,0,33462.94,1,True,False,74606.55586781615,Low Value
712,0,29,2,0.0,1,1,1,144375.0,0,False,False,43657.288960108715,Low Value
539,0,43,3,116220.5,3,1,0,55803.96,1,True,False,80859.35017723314,Low Value
668,0,46,2,0.0,3,1,0,89048.46,1,False,False,39396.500822779344,Low Value
703,1,28,2,81173.83,2,0,1,162812.16,0,False,False,114366.35881755469,Medium Value
662,1,38,4,0.0,2,1,0,136259.65,0,False,True,59924.13713880759,Low Value
725,0,39,5,116803.8,1,1,0,124052.97,0,True,False,93490.3455023972,Low Value
703,1,37,8,105961.68,2,0,1,74158.8,0,False,False,138791.4697477655,Medium Value
659,1,67,6,117411.6,1,1,1,45071.09,1,True,False,97355.15393004146,Low Value
523,1,34,7,0.0,2,1,0,62030.06,0,False,True,60213.64551533068,Low Value
635,0,40,10,123497.58,1,1,0,131953.23,1,False,False,86163.43676990861,Low Value
772,1,26,7,152400.51,2,1,0,79414.0,0,True,False,120253.35906606853,Medium Value
545,0,26,1,0.0,2,1,1,199638.56,0,False,False,65785.59160911546,Low Value
634,1,24,8,103097.85,1,1,1,157577.29,0,True,False,141243.94048337315,Medium Value
739,1,54,8,126418.14,1,1,0,134420.75,1,True,False,90881.68973153147,Low Value
771,0,36,5,77846.9,1,0,0,99805.99,0,True,False,69330.76414797945,Low Value
587,0,34,1,0.0,2,1,1,97932.68,0,False,True,81915.6505646573,Low Value
681,0,79,0,0.0,2,0,1,170968.99,0,False,False,98096.63396415161,Low Value
544,1,37,2,79731.91,1,1,1,57558.95,0,True,False,93824.87592661376,Low Value
696,1,28,8,0.0,1,0,0,176713.47,0,False,True,57708.09920855184,Low Value
766,1,41,0,0.0,2,0,1,34283.23,0,False,True,64072.52032560499,Low Value
727,1,34,10,0.0,2,1,1,198637.34,0,False,False,132412.42739023946,Medium Value
671,0,34,6,37266.67,2,0,0,156917.12,0,True,False,80891.31881257464,Low Value
693,0,30,6,127992.25,1,1,1,50457.2,0,False,False,121557.95113775475,Medium Value
850,1,38,3,54901.01,1,1,1,140075.55,0,True,False,101070.91344115204,Medium Value
732,1,42,9,108748.08,2,1,1,65323.11,0,True,False,127163.22114106301,Medium Value
726,0,48,6,99906.19,1,1,0,64323.24,0,False,True,91264.3585272584,Low Value
557,0,32,6,184686.41,2,1,0,14956.44,0,False,False,82439.24431917112,Low Value
682,0,26,0,110654.02,1,0,1,111879.21,0,False,False,75989.64230398851,Low Value
738,1,31,9,79019.8,1,1,1,18606.23,0,False,True,112254.97538328207,Medium Value
531,0,36,9,99240.51,1,1,0,123137.01,0,False,True,85531.42501642181,Low Value
498,1,34,2,0.0,2,1,1,148528.24,0,False,False,93866.06524717962,Low Value
651,1,36,7,0.0,2,1,0,13898.31,0,False,False,59626.235864472415,Low Value
549,0,39,7,0.0,1,0,0,81259.25,1,False,True,32937.836159636194,Low Value
791,0,35,7,52436.2,1,1,0,161051.75,0,True,False,90405.0929274331,Low Value
650,1,41,9,0.0,2,0,1,191599.67,0,False,True,127559.26626879338,Medium Value
733,1,34,3,100337.96,3,1,0,48559.19,1,True,False,62862.65058584673,Low Value
811,0,34,1,149297.19,2,1,1,186339.74,0,True,False,137366.7678258595,Medium Value
707,1,30,8,0.0,2,1,0,33159.37,0,False,False,83673.17153223505,Low Value
712,1,28,4,145605.44,1,0,1,93883.53,0,True,False,103330.76058742458,Medium Value
706,0,37,7,0.0,2,1,1,110899.3,0,False,True,105973.21369115924,Medium Value
756,1,62,3,0.0,1,1,1,11199.04,1,False,False,45628.67794688164,Low Value
777,0,53,10,0.0,2,1,0,189992.97,0,False,False,93261.11627409447,Low Value
646,1,35,6,84026.86,1,0,1,164255.69,0,False,False,107807.37341988023,Medium Value
714,1,46,1,0.0,1,1,0,152167.79,1,False,False,16510.94843765888,Low Value
782,1,39,8,0.0,2,1,1,33949.67,0,False,False,105344.19494301497,Medium Value
775,1,29,10,0.0,2,1,1,68143.93,0,False,True,121471.32529425256,Medium Value
479,1,35,4,138718.92,1,1,1,47251.79,1,True,False,97891.57099374423,Low Value
807,1,42,7,118274.71,1,1,1,25885.72,0,False,False,105522.56161407781,Medium Value
799,0,22,8,174185.98,2,0,1,192633.85,0,False,False,185241.8288958752,High Value
675,1,40,7,113208.86,2,1,0,34577.36,0,False,False,86656.52160572998,Low Value
602,1,29,5,103907.28,1,1,0,161229.84,0,False,True,86985.810859573,Low Value
475,0,32,8,119023.28,1,1,0,100816.29,0,False,False,106218.97647781491,Medium Value
744,0,26,5,166297.89,1,1,1,181694.44,0,False,True,133011.0892128204,Medium Value
588,1,34,10,0.0,2,1,0,79078.91,0,False,True,82506.76216215288,Low Value
703,1,42,9,63227.0,1,0,1,137316.32,0,True,False,111994.74579571269,Medium Value
747,0,41,5,94521.17,2,1,0,194926.86,0,False,True,99250.990784094,Low Value
583,1,27,7,0.0,2,1,0,51285.49,0,False,False,69035.04251666946,Low Value
750,0,34,9,112822.26,1,0,0,150401.53,1,False,True,97601.51916425228,Low Value
681,1,38,3,0.0,2,1,1,112491.96,0,False,False,87175.86423158058,Low Value
773,1,25,2,135903.33,1,1,0,73656.38,0,False,False,78820.27245687215,Low Value
714,0,31,4,125169.26,1,1,1,106636.89,0,False,False,120756.06690519901,Medium Value
687,0,44,7,0.0,3,1,0,155853.52,1,False,True,75305.7350505193,Low Value
511,1,58,0,149117.31,1,1,1,162599.51,0,False,False,105363.17262606752,Medium Value
627,1,33,5,0.0,2,1,1,103737.82,0,False,False,96769.05890308335,Low Value
694,0,31,10,0.0,2,1,0,160990.27,0,False,False,86699.67066893513,Low Value
616,0,36,6,132311.71,1,0,0,15462.84,0,False,True,88855.61991763637,Low Value
687,1,35,8,0.0,2,1,0,10334.05,0,False,False,90964.88526147914,Low Value
712,0,33,6,0.0,2,1,1,190686.16,0,False,False,106935.88958520158,Medium Value
553,1,33,4,118082.89,1,0,0,94440.45,0,False,False,84086.00807243024,Low Value
667,1,31,1,119266.69,1,1,1,28257.63,0,False,False,92476.90699970539,Low Value
731,1,43,2,0.0,1,1,1,170034.95,1,False,False,59925.3767494611,Low Value
629,1,35,7,156847.29,2,1,0,31824.29,0,True,False,113619.35613397005,Medium Value
614,1,50,4,137104.47,1,1,0,127166.49,1,False,False,74489.07977404045,Low Value
438,1,31,8,78398.69,1,1,0,44937.01,0,True,False,81938.80177079329,Low Value
652,0,80,4,0.0,2,1,1,188603.07,0,False,False,86595.94836127336,Low Value
729,1,30,6,63669.42,1,1,0,145111.37,0,True,False,98345.21462384629,Low Value
642,1,38,3,0.0,2,0,0,171463.83,0,False,False,75907.54938785636,Low Value
806,0,59,0,135296.33,1,1,0,182822.5,0,True,False,93749.98803200765,Low Value
744,1,36,2,153804.44,1,1,1,87213.33,0,False,True,125427.52208585195,Medium Value
474,1,37,3,0.0,2,0,0,57175.32,0,False,True,56307.0588995931,Low Value
559,1,49,2,147069.78,1,1,0,120540.83,1,False,False,68472.60725553957,Low Value
706,1,42,9,0.0,2,1,1,28714.34,0,False,True,101817.37252087853,Medium Value
628,0,22,3,0.0,1,1,0,85426.28,0,False,True,53003.047429861304,Low Value
429,1,24,4,95741.75,1,1,0,46170.75,0,False,False,70620.80334758779,Low Value
525,0,57,2,145965.33,1,1,1,64448.36,0,False,True,100812.17837991263,Medium Value
680,0,30,8,141441.75,1,1,1,16278.97,0,False,False,133756.73310524298,Medium Value
